wallet_id,wallet_address,private_key,device_id,device_category,devices_owned
wallet_013,0x57eAf3421F3e42D5514A59E49FB76769B0F4C6dB,0xd7abcafab9870fa6b428c9aae426347fbf7b2033602ae3f2c2e00009be8f746b,did:lcore:cell-tower-tower-8,network,1
wallet_014,0x1861fa56289F82a2ce6f64Ff317Fa8bC17337CBA,0xed58e0eebadcdaab70827f48b8701b4b8de0ca78672d36a1beb86e1d4c8acd44,did:lcore:health-tracker-8,health,1
wallet_015,0x3EC4a5C9b6483f54EC243D37659bA35F482EFa04,0xd58165c12871f65a0ac9330d6a8970a90373b14629aef3169ded0e95970c13a3,did:lcore:health-tracker-6,health,1
wallet_016,0x568AA00F2374EAAafF290536bEB767ba26B00B38,0x3413b3b423c0605b3b0474eef19c66e5a548e86a23806ee146c82b929cfe38b4,did:lcore:retail-crown-center-store-3,retail,1
wallet_017,0xCf8a8f3FB0d0A0D7616fA40ac56342E2F9953A82,0xbb28e179db9a30188248c7e69fa90c6eacc441a93a0ac910940549f357139142,did:lcore:cell-tower-tower-1,network,1
wallet_018,0x55EA9a3429070261f01020cBd19d1b0A20C292ab,0xadc1f64f6bdec6fe3f24750c8dcbc3427d65384cf001191c96cfb6fc9bec7c52,did:lcore:retail-country-club-plaza-store-2,retail,1
wallet_019,0x7AfaB09F023b5e8bC94Dc6Da7EeEe211F4161020,0x36d3cee70823c7298195c0b39a7fde7ca3e432cd6537cd132a3ab83be5018301,did:lcore:retail-crown-center-store-2,retail,1
wallet_020,0xb11C3Eeb05a806E3Df59a9f396cd735528Ddf884,0x483e1a67e744c8522c91666444ba527424a05b6377fbfd8fa1e59322b3142849,did:lcore:retail-westport-store-3,retail,1
wallet_021,0x6564d56cEe37F3649a088766Fb309a0e5D965617,0xd2d340ef56fc012e235b8894bd651c40df3ef9c3390e5a19543cfc8135f4348e,did:lcore:health-tracker-7,health,1
wallet_022,0x1063D06e9EB8bA8a27865a9C08019Fd681276aBe,0x7b90a4db960eef92e954d21fd4d6f2d0782ed0d46a8f3dbc2f56f562d604c9ce,did:lcore:health-tracker-10,health,1
wallet_023,0x80Ae4c34e2821eD0FC2B7a0FD787C328962bdD8E,0x3fa107d7c6123159e21acb53fb7b5025e58e5b6413fcdf1c364bacf71310dcf0,did:lcore:env-105-air,environmental,1
wallet_024,0x19428B5Ee21aE5DccDA83E59Eb0968ec12dC3377,0xd6e346669a710900c8d58220d4f8d591e02169b39e6aca5d6ecd1f1d0c9fecf7,did:lcore:retail-country-club-plaza-store-3,retail,1
wallet_025,0x3c31Bc751c3BEC0EDb1ab8cb63971c283745FBB0,0x92e2d68cefad1347b31af0227f0980f88d70cabb45430beb3e719d41da28514e,did:lcore:retail-west-bottoms-store-3,retail,1
wallet_026,0xfdb976bd47B34F9cE8b28C1CE3f2fa53fd90BF0E,0xa82baa858264103158bd52fb6548a84116bdb3964f894e0ed16dd8c0c37c0cfc,did:lcore:retail-power-and-light-district-store-3,retail,1
wallet_027,0x8aD29b319c09d73A4feF5F31f1685C22051282bf,0x52d84c1311721e8db73fcc0deb4ffe5956d7e85cf4ce2a8b847c77913ca8e4a7,did:lcore:weather-station-oakland-4,weather,1
wallet_028,0x19768C6637C21cBFE79e313A635Ddf3ae482e448,0x3af872f11f0cf87039862b7ea8141e12c7333ee4150f410d116c6a41316f5df9,did:lcore:retail-crossroads-arts-district-store-2,retail,1
wallet_029,0x57089d87D718ad926F0685F20f989A9d11162947,0x70941810383485eded1fba06c3c62451b9b92b15d56005e5e3fe0da14c71c3d7,did:lcore:cell-tower-tower-2,network,1
wallet_030,0x927Ed98168b148B07042F448edFEd6797074206f,0x8ab6a193b2f0cd86c7c541a8a99e02ed8a9f82f2f9dff00d1fd2df1ebbbc01a8,did:lcore:retail-westport-store-1,retail,1
wallet_031,0xD31D9EBF42867574E82C8962B3a8724Fc17603cd,0x86c4c92d822f654bfc6fba7b367c11c7efdfdf400796077c94859951d0a54d50,did:lcore:env-101-water,environmental,1
wallet_032,0x0a002aCCbabd40391d6570B7239879C4EDD65701,0xf81c87af5ae7eaf653700521bd138335dfe856463249bcfeb5287552e034163b,did:lcore:retail-brookside-store-2,retail,1
wallet_033,0xc04De69B01C0b19921E04d7475186c5298642Cbd,0x4caa9f6d2cc6266d660067dfb96d694a6f145a82b7ff36f43346ab3db3ed0383,did:lcore:health-tracker-9,health,1
wallet_034,0x8e947e742429ee8F400e23f40d5b46F72fdf5A47,0x59b81896a32a9eb34202a814b10614d036de93274c6ef4ab308c7b7fc4e77f84,did:lcore:retail-river-market-store-1,retail,1
wallet_035,0xC27c7c9cC9f8d301bdF81C676425042AFca29CF1,0x0394e1784ef283b4e931df09feab726909d243aba85e209ec0e34071c6b636eb,did:lcore:env-104-water,environmental,1
wallet_036,0x29E1E88f2f29913b7A56b0552FDF8c75175Df3e6,0x11ff3bd8ed114678a0c2dc3dd24b3aade4e4832348ff83be8fc481e6fffccf7b,did:lcore:agri-R1,agricultural,1
wallet_037,0xc586F5073e146240D33c41F807089eCE3FfD763a,0x53f1f6a306a555dd626c9cfb9e54f483d9ed366d59e5bcc3e38f6958dba76c03,did:lcore:health-tracker-5,health,1
wallet_038,0x0487C8748ea875bA2dB2A709f4ef2AD839B61ec9,0x8284c4d104cb1168989dbc217a572973b8e32dfeb08fd58aeeab90e3b5abc0c1,did:lcore:retail-river-market-store-2,retail,1
wallet_039,0x2DDb8e8dc249236eBc7bB22eDbdD1894AC3cB335,0x6a371e57b244ac1acdf32fed456eca130059d6f9b16985cea3f4d7afdba91c26,did:lcore:cell-tower-tower-6,network,1
wallet_040,0x0BFc1280987d3fA2cAC42B93646eCa25FBf05882,0x6c613575706aae1daf7b96ae32bb9d78caeb4ef7187a1fa93d169d9e36265a68,did:lcore:retail-midtown-store-2,retail,1
wallet_041,0x5eE337A1165b4C76AAeEC05916DE8A39f01dD63F,0x3650d6f6729f091abdbf5d8d955b6573f418b42697e2c23906d99e7ab9ad8966,did:lcore:cell-tower-tower-4,network,1
wallet_042,0x2008F5a91bfa77D560398874883A3337b7983522,0xb9f0f1c316f53d0461f10a7cc26c466523489d97a74f77fcefef968e12d1391d,did:lcore:retail-west-bottoms-store-1,retail,1
wallet_043,0x3E2B9d4CA6dd0516FfF24dfb19a31A19749c21d2,0xda69769c6c2ce2458d86fd01962b00a3b3ca6dc6e96329b0f189905e7295e1f2,did:lcore:retail-crossroads-arts-district-store-1,retail,1
wallet_044,0x9173117e49a37c13c0B301589835725c2C795b47,0x5e85d902b8f0806509ca9aa5059f40d988caf9ab5b99217477e9497b3599933a,did:lcore:env-105-water,environmental,1
wallet_045,0x873e5133150F131234Aa2b419F4a802F3E9a5b93,0xd3c7118901ab2c22df0125298df460936c6059302d7eddb925dec17911fac39f,did:lcore:weather-station-oakland-3,weather,1
wallet_046,0x4Ff1b99E3B39034c955C66D3f288d85A670879dD,0x95cc410ddb4175715594cdddadca79178217c25c1238825f3f8691acd72f287e,did:lcore:retail-power-and-light-district-store-2,retail,1
wallet_047,0x645cd074a89412ba33b67916E6c2b40459f3F3b4,0xe39ceead562cb7b47c58c950ae4f0f725381502974f19105ef8e87189cecf3f2,did:lcore:retail-country-club-plaza-store-1,retail,1
wallet_048,0xe4f5ba92fC1b60254B372A7887789eeE82A2b319,0xdd75552294f6a48a562aef4feab5161b9224876f5140baacc874d988962782e1,did:lcore:retail-39th-street-district-store-1,retail,1
wallet_049,0x4c30b69E8AE00df51258F759B97A0371c83DabE5,0x8374aea915c3a4fb5f1964e52768c3681f8dffe5ebeb00bcfca0871d162dd2e7,did:lcore:weather-station-oakland-1,weather,1
wallet_050,0x6D982363C1cEfe7650d51125Cb4E0cB727e47ABc,0x5eedc1cbdf2971afe1a5bcc73b49f4e72c29ff2efa7b13d9c805e3ad053d5fdd,did:lcore:health-tracker-1,health,1
wallet_051,0x33c10c42890c73D9CE3FA02b241a5aC0564e0312,0x4fdcdc4086a2e7584fdb930a359908b3ad6ccddf2421027fb7bfd6fce17c35b5,did:lcore:retail-river-market-store-3,retail,1
wallet_052,0x25951719B2Df1f229Cd018CDa4D2aD7F1086D21e,0x09e3f0cce9385bc9e7e40e616e667cc54e624012e1e404f3c24b00d7b70bb452,did:lcore:agri-R2,agricultural,1
wallet_053,0x4f092E4f742B7FBBD7954833b5Bca34fF3c925b1,0xe4463f9e110d6ace3fcb6aece16e5f00f0d8fbf4dd84468462ffb0caf73fb0b9,did:lcore:agri-R3,agricultural,1
wallet_054,0x2bc99ff08397357114196d423223770294128Aed,0xaed966983258577d083327adddbc79335f9dadb7ff094ec1ae4a77c2562e7f36,did:lcore:cell-tower-tower-5,network,1
wallet_055,0x0E71E190324BDE8723e9D7ae5f54ad36f65785E4,0xf6397f48621b4e86e58ac9d0ea80905ec408f2040bb3f2b9555ac15e6a6acdce,did:lcore:retail-brookside-store-3,retail,1
wallet_056,0x879538e0C76A7273B154b6d347Aa0D40FaC03e61,0x510a63f4b17e1e4b7c6c3b14613d713c48eccfb120bfeaa25f5d5f9d9732d4f5,did:lcore:env-102-air,environmental,1
wallet_057,0x0Cc8041448f8E9348E61cc8d7f7B22ea8bf402e0,0x75f6c758258215ba2c474ed04ee42b3bea307b21ea21a6c4b5139dab87cf9c1d,did:lcore:retail-39th-street-district-store-3,retail,1
wallet_058,0xB5fb86779A3F99f0385658e4d1a9036a20430c5E,0x20c33addcf143c9aa3feac0f13408bd94991d1d523e6ec75730ec6e64540c035,did:lcore:retail-westport-store-2,retail,1
wallet_059,0xB9194be65F6E2940c81514185458E00284075bc7,0x8b597d2532e17b4fb7fea570695cbedcdc4d28f53372b72ebe6ad9478440e8cc,did:lcore:retail-crossroads-arts-district-store-3,retail,1
wallet_060,0x1C773026c6eD4EDd1E1B561Bac30371d84828399,0x37e976406ac83f4b72bc114611ce5ffbc0f9bd1277b93551eac7aa536cf77428,did:lcore:env-102-water,environmental,1
wallet_061,0xC29FDeC67f619719e86Dd444a5daac2B6dB909Ab,0x4437957b0203a20cfb61ddd2ef47f0c8c8e0d10781e916e9d0d539f89683059d,did:lcore:retail-midtown-store-1,retail,1
wallet_062,0xe17b58A646B58376655693fc4178C33F81eE4581,0x4bd2948366e50776059bf66c63526fa3a58e04e7550cdeac7c3eb2930bbc1b51,did:lcore:env-103-water,environmental,1
wallet_063,0x160fad6433f040E525e92779833c11641cb72A8c,0x37964da9e23a52b3d697403aed8e215d2d7c73e9b188da488ef55831522dd8ee,did:lcore:weather-station-oakland-5,weather,1
wallet_064,0xd4Ed0F9B2E25faf8a529446b0873400680B20ec8,0x756337283fe23e40087ba3756e7122516838f24e2954f4a997214a9589a356f3,did:lcore:cell-tower-tower-9,network,1
wallet_065,0xEA5eA171153DbB3f7072Aa03bAaAE79ecb5dF7f4,0x2f59dec871e422e19da8624c42deb9b9a332e46c2e67e3f974751dcffa9392a4,did:lcore:retail-brookside-store-1,retail,1
wallet_066,0xCB786C970cf9fDC249C6958eF5b7cb505Ab3Be63,0x25c613835ace56dc84ca2503cf1af752a18960f471954391e3eeec8dffa83207,did:lcore:env-101-air,environmental,1
wallet_067,0xF42Cf39DEfE8c1CE49992203Cb06bb54f9EFFBC9,0x486b01dfda4b75630181dc79b54bc1bb660ae859b6311fc206cfc5955f806984,did:lcore:health-tracker-2,health,1
wallet_068,0x97132a4CdA2BdcB36D08f4d582d68F4E28239c6A,0xeb7827efd8cf7ed461f8b2089cb6df7fe35359b85e6524bcff7ecad421e06014,,,0
wallet_069,0x4bF469808Ca93C315A418d4E163f2572e1d3A980,0xaa558d853517477e5634f45d06a44bae81d4efec6d5078ff708ca8a055ab84f3,,,0
wallet_070,0x50c189BA83E3980735b4022ABC9F736D22D59f9C,0x43de778540f1aa2eb59247a08b77f537a5ed16d90845dbc9546dbf2050c721e1,,,0
wallet_071,0xC6bC41B347609a424F75A3A557f7Ca5976b98A12,0x1203cd47e18b535c335336153d751e90a7106f0470892b5df4bd57bcb10d9ea6,,,0
wallet_072,0xE71410BD2369Fdfe223e7609559f0B8D589eEbF1,0x91bc0b024d1063ffc3bae4808838b1fcb8a698f8ba48166ba67efb8ea00b4fdd,,,0
wallet_073,0xb304937aC8757F09fcE6622E12e1198dF8eE01Bd,0x6bc30e3f0fbf0e407c3af1118ec540449c00bcdf55a9cf323d4b0765bd93b04f,,,0
wallet_074,0x55e3E5537E09A3f5693020aC9a6eF1FFD4D07EE5,0xb8e8aa6e4500aba103b6e067c7ad932ec3701625526a383c20ef16f8033d5a60,,,0
wallet_075,0x7503666851A8F348ADdbE668e7CC3880d6F4889E,0x518f5880e93ac8296165531fbe4b3da8017aa878b4ff2a409962b222bcb3a2d2,,,0
wallet_076,0xb47b6fCd8859a6bafaF5695B368C11505F4957FB,0xe3093169056bc126fc3a15ad19da4e898f2fcc0f5437e7ac3d3270933a9db99a,,,0
wallet_077,0x75169f934c0dC2bfdC43d847C27aB8283eD5540a,0x722dec4ee53d0101d8196ccb2309dad115ea3b862dbc35096b0ffacb66027aeb,,,0
wallet_078,0xD7927609803569Ff0f5802879890ffe49e4916f3,0x8112b4d21d2f80a977914c66e4bcb4cbe75fcf53b2ba8071f30325f3e4cfc8ea,,,0
wallet_079,0xb5fC09b1eFce26BFe866f237Cd26d28B94957C31,0x9e1b22e8ddc78701953cf65cc6a8feb93be6e31e67bb8d211a15e6e47cd41d47,,,0
wallet_080,0x60EA80d0cb0b2FbC058C905AB552c3109834f2e6,0xb46ea773240c5871cb84955ba9287ba0d9730af587f3c3752a7f71053c774430,,,0
wallet_081,0x91F93EaFd393D6002216aa17e1385185b3Ca7549,0xca15989ef540cfaded646f7e982e31155dfc39d13633c584cde0d66fa6523a1e,,,0
wallet_082,0x5ed1B66A13fC0862188CAbfEE710d9bf72430E4F,0x8d34e6c73de3d3d4282a28f99d73248c50c4602f660573eae76d44dc40e19e54,,,0
wallet_083,0xaBde1361Fd36E4AaE2ad0E369cfd09845Daaed08,0x443d82763e1bbbebbbdf5fdacf0ead25eddb5ff489c4be7a7fce40a34a9257fa,,,0
wallet_084,0x834a5335839f83902DA96ace314ce04344b42B38,0x337eca36ac138093cebb9c233e4dcb4ee8c752dae60e7a8b8ce122cba016bc45,,,0
wallet_085,0xE78F5DE6b7434eD1559092C36A94DCa6a0740dD4,0x683941e375d7947cb213df3ccdd13ecbdda4c8b9eb6a3eae2d7a78c6a6c04479,,,0
wallet_086,0x06634847dB5Fc24a0a2e3555c689E16AF574D933,0x495ad1257d89887a289e5ba98fabc05017f72c1d9646d403ae135ef8e9214f14,,,0
wallet_087,0xeeb3b320128D7eB3e501b7519Fe41cc1aBA8E648,0x6723de793d1f03bd54ca81e934631735c675bd640e63326f3436c6610d007d72,,,0
wallet_088,0xaD820CC756b1BD9585F625853c1994F6336a8f90,0x96992b970c2e7626a0ee232865973c91bc3ae010c6e96d3a6679a02e46fa2163,,,0
wallet_089,0x0AAe8C3F588e56d36DA75aA999A594266AD7EB99,0x14c3376a5fb45504f73bb0d27e757267000735af4e71d7a887000efc0799da65,,,0
wallet_090,0x885F4AcD2F924B4A03CD8d57FF0e2803A9bF328E,0x53ce2bef1b9cc83fc076bb406cff66c1c2b309390d8339e1f0a44f7d3556e969,,,0
wallet_091,0xe5301489c7d2fbAD08facb9876D1C2d4328ef8df,0xd1c8872658f499fb55ba51c9fd7c8bfe3618a24bd6509f8af78e44f91a5b3a39,,,0
wallet_092,0xaa5e3006a74773358B111F17bfc3C89339be650E,0xf234eacdd301d5f1b3b0ac34b5e83018be28faeadc4c02e0d1342b1cc3712f17,,,0
wallet_093,0x4dc6435a88933aBE3d9B72B9D45FEc9cebc099fc,0x5faec28ec4a4ff35641284ba4fb7242777ccb6ff898a50f79878cf6f28e9f524,,,0
wallet_094,0x03c8f2647feAdd43C62C77E384ebf5e3022913A4,0x136b98985ce21101745952308ca1bfddc59e942ebaf61d418ab70e96a136d557,,,0
wallet_095,0xeed5988df1a71DbdCcE805f76F5Bc762C5594AF3,0x058c3717553b863b26a468984b8ddeda1e233f1912f8149bc1753dbaa730450f,,,0
wallet_096,0x161F622f3eAC9dB227f961a7eFE25de8f4a494d9,0x8caa9327196bebd5df1fb8fa3ce357950f737df389f3291247c2e9336635a47a,,,0
wallet_097,0xB76e3fDA2D559b50a12cbC650f2D91194860f4AB,0xc95de34672b6c760c71631c4c19d9664395a6b37edabe93d44b307c65be9dd11,,,0
wallet_098,0x16bBeD2d7497c1fff3a142E928df1DfB283A7Ea5,0xd8c18906192d30648db79ee737650a40d92c5633252329af84dcf9ed68b247ec,,,0
wallet_099,0xa371682EE8b64b7d77459FDc3b910703e32CA0D2,0x305667a309d1e00328ff680697c29eb4fba758072cf0fa8707246f0753cc1127,,,0
wallet_100,0x4aD8BB7EB70B563496F8dFb8cE61cc81A16C9d45,0xe0ec558419553f696c737ba6f9201148d4b806270c33fd0f298040d186fbc3f0,,,0
